FATHID,CaseID,ITT,BOY,Cage1,CUSTSAT1,DAGE1,EDUC1,INCOME1,FTCKNOW2,HARSH2,INCONS2,POS2,HARSH3,INCONS3,POS3,ECBIN3T,ECBPRB3T,SDQPRO3
FTC690,386,1,0,5,6,30,3,1,11,1.72727272727273,3,4.4,1.36363636363636,2.66666666666667,4.6,38,41,9
FTC697,388,0,1,3,3,41,7,10,6,1.81818181818182,2.88888888888889,3.06666666666667,2.18181818181818,3.44444444444444,3.4,57,47,8
FTC698,389,0,0,7,2,25,2,2,6,1,1.88888888888889,5.13333333333333,1.45454545454545,3,5.26666666666667,81,85,4
FTC705,390,0,0,7,5,28,3,4,9,1.81818181818182,1.88888888888889,4.06666666666667,2.54545454545455,2.33333333333333,5,40,46,7
FTC716,394,0,0,5,3,23,9,5,7,1.27272727272727,2.33333333333333,5.66666666666667,1.18181818181818,1.33333333333333,5.4,88,54,6
FTC738,405,0,1,13,3,39,7,8,11,1.63636363636364,2.22222222222222,5.4,1.72727272727273,2.22222222222222,4.06666666666667,34,42,7
FTC743,407,0,1,8,5,40,5,11,7,3.09090909090909,2.66666666666667,4.33333333333333,2.72727272727273,2.66666666666667,4.46666666666667,46,42,10
FTC748,409,0,0,6,3,36,5,7,9,2.18181818181818,3,3.26666666666667,2.27272727272727,2.88888888888889,3.13333333333333,51,47,10
FTC749,410,1,0,6,5,41,5,10,11,1.81818181818182,3.44444444444444,4.13333333333333,2,3,4.06666666666667,54,54,8
FTC754,413,0,0,11,5,36,4,4,7,2.54545454545455,2.77777777777778,3.73333333333333,2.45454545454545,3.11111111111111,3.4,62,64,3
FTC755,414,0,1,10,3,36,5,6,10,3.63636363636364,4.77777777777778,3.33333333333333,3.36363636363636,4.22222222222222,3.53333333333333,76,80,4
FTC757,416,0,0,11,5,32,2,6,7,1.81818181818182,3.44444444444444,4.8,3,3,4.46666666666667,39,41,10
FTC766,419,0,1,16,4,51,3,8,12,1.63636363636364,2.77777777777778,4.2,1.54545454545455,2.88888888888889,4.6,38,41,9
FTC770,422,0,1,5,3,43,3,6,9,1.72727272727273,2.66666666666667,3.8,1.90909090909091,2.33333333333333,4.06666666666667,50,55,6
FTC030,15,0,0,9,2,39,4,7,11,2.45454545454545,3.22222222222222,5.33333333333333,2.09090909090909,2.77777777777778,5.46666666666667,42,42,10
FTC032,16,1,1,4,1,35,4,6,13,1.90909090909091,2.11111111111111,5.73333333333333,1.90909090909091,1.66666666666667,5.66666666666667,57,56,9
FTC034,17,0,0,8,1,45,5,6,12,1.36363636363636,2,5.26666666666667,1.63636363636364,2.44444444444444,5.26666666666667,48,49,10
FTC036,18,1,0,15,3,46,5,9,13,1.45454545454545,2.22222222222222,4.53333333333333,1.54545454545455,2.44444444444444,4.8,55,54,10
FTC050,25,0,1,4,6,24,4,7,8,1.90909090909091,3.55555555555556,4.73333333333333,2.18181818181818,3.55555555555556,3.86666666666667,80,68,10
FTC051,26,1,1,8,3,28,5,6,11,1.72727272727273,2,5.6,1.45454545454545,2.33333333333333,5.93333333333333,43,45,10
FTC052,27,1,1,14,5,36,4,6,13,1.63636363636364,2.33333333333333,5.06666666666667,1.54545454545455,1.88888888888889,5.46666666666667,60,46,8
FTC054,28,0,1,5,5,26,3,4,10,2.54545454545455,3.22222222222222,3.93333333333333,2.54545454545455,3.55555555555556,4.4,59,52,9
FTC093,45,0,1,8,4,42,8,9,11,2.45454545454545,2.66666666666667,2.93333333333333,2,2.55555555555556,3,49,52,10
FTC109,59,0,1,2,1,33,4,2,9,1.90909090909091,2.66666666666667,4.53333333333333,2.09090909090909,2.55555555555556,4.4,44,47,10
FTC315,202,0,1,8,5,45,5,11,13,1.27272727272727,1.77777777777778,4.93333333333333,1.09090909090909,2.66666666666667,5.33333333333333,36,41,10
FTC319,205,1,1,11,4,54,6,4,14,1.81818181818182,2.22222222222222,3.53333333333333,1.81818181818182,2.55555555555556,5.53333333333333,42,46,8
FTC326,211,0,0,8,5,33,5,2,11,1.90909090909091,2.77777777777778,4.73333333333333,1.63636363636364,2.55555555555556,3.66666666666667,44,46,7
FTC327,212,0,0,4,1,43,9,1,11,1,2,5.2,1.09090909090909,1.33333333333333,5.33333333333333,42,41,10
FTC331,213,0,1,4,3,36,4,2,12,1.09090909090909,2.44444444444444,4.93333333333333,1.45454545454545,2.22222222222222,4.93333333333333,56,42,7
FTC332,214,0,1,4,2,24,4,3,10,2.18181818181818,3.11111111111111,5.13333333333333,1.54545454545455,2.44444444444444,5.53333333333333,52,49,10
FTC335,216,1,0,6,2,36,4,5,13,1.72727272727273,1.88888888888889,5.2,1.45454545454545,1.55555555555556,5.53333333333333,46,50,9
